id,name,status,window_start,window_end,net,rocket_name,provider,pad_name,location,mission_type
f78364d9-3c60-4c72-a410-84a499233db0,Falcon 9 Block 5 | Starlink Group 10-23,Launch in Flight,2025-06-23T05:29:20Z,2025-06-23T09:24:59Z,2025-06-23T05:58:30Z,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Communications
7339173c-ff5d-4cd1-bd08-ed92f8362745,Long March 3B/E | ChinaSat 9C,Launch Successful,2025-06-20T12:27:00Z,2025-06-20T13:02:00Z,2025-06-20T12:37:00Z,Long March 3,China Aerospace Science and Technology Corporation,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Communications
4e6e74a5-6ffb-4dc3-8f39-90545067bf12,Angara A5/Briz-M | Kosmos (Unknown Payload),Launch Successful,2025-06-19T02:30:00Z,2025-06-19T04:00:00Z,2025-06-19T03:00:00Z,Angara A5/Briz-M,Russian Space Forces,35/1,"Plesetsk Cosmodrome, Russian Federation",Government/Top Secret
35c0c65c-3077-45e8-a374-790f7d202ccb,Falcon 9 Block 5 | Starlink Group 10-18,Launch Successful,2025-06-18T05:55:10Z,2025-06-18T09:34:49Z,2025-06-18T05:55:10Z,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Communications
b9c7d6a5-49cc-4ce2-b1ef-1a4f3d049658,Falcon 9 Block 5 | Starlink Group 15-9,Launch Successful,2025-06-17T03:36:50Z,2025-06-17T04:07:19Z,2025-06-17T03:36:50Z,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Communications
bb2d58b8-c5da-4cdb-9cd2-a646c1f62591,Long March 2D | Zhangheng-1-02,Launch Successful,2025-06-14T07:48:00Z,2025-06-14T08:22:00Z,2025-06-14T07:56:00Z,Long March 2D,China Aerospace Science and Technology Corporation,Launch Area 4 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Earth Science
f52bce97-24cc-4ee5-9140-480c68bd65cf,Falcon 9 Block 5 | Starlink Group 12-26,Launch Successful,2025-06-13T15:21:00Z,2025-06-13T15:44:59Z,2025-06-13T15:29:00Z,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Communications
20f57212-6c6c-45c9-ba80-b4f90a470c7c,Falcon 9 Block 5 | Starlink Group 15-6,Launch Successful,2025-06-13T01:54:50Z,2025-06-13T04:59:10Z,2025-06-13T01:54:50Z,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Communications
0a4ae6ce-07ef-4e48-9b4d-0bf4e1182134,Electron | The Mountain God Guards (iQPS Launch 3),Launch Successful,2025-06-11T15:15:00Z,2025-06-11T16:05:00Z,2025-06-11T15:31:00Z,Electron,Rocket Lab,Rocket Lab Launch Complex 1A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Earth Science
e084e9ae-5d37-4c4c-b6a9-1bc6047086f3,Falcon 9 Block 5 | Starlink Group 12-24,Launch Successful,2025-06-10T13:05:40Z,2025-06-10T17:02:59Z,2025-06-10T13:05:40Z,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Communications
fb36a6be-e8e1-4bb9-9833-7cf98aa91d78,Falcon 9 Block 5 | Starlink Group 15-8,Launch Successful,2025-06-08T13:34:00Z,2025-06-08T14:33:59Z,2025-06-08T14:20:10Z,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Communications
b3f7dd08-1e48-498c-8fcb-193b8d54ed6b,Falcon 9 Block 5 | Sirius SXM-10,Launch Successful,2025-06-07T03:19:00Z,2025-06-07T07:19:00Z,2025-06-07T04:54:00Z,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Communications
